key,value
AccountTrie.Name,account trie
TopByDepth[0].Levels[4].Size,34865152
TopByDepth[0].Levels[5].Short,0
TopByDepth[0].Levels[5].Full,1048576
TopByDepth[0].Levels[5].Value,0
TopByDepth[0].Levels[5].Size,557799072
TopByDepth[0].Levels[6].Short,17287
TopByDepth[0].Levels[6].Full,16758574
TopByDepth[0].Levels[6].Value,0
TopByDepth[0].Levels[6].Size,4149520834
TopByDepth[0].Levels[7].Short,89355816
TopByDepth[0].Levels[7].Full,30128846
TopByDepth[0].Levels[7].Value,12689
TopByDepth[0].Levels[7].Size,6189321670
TopByDepth[0].Levels[8].Short,64759082
TopByDepth[0].Levels[8].Full,2767026
TopByDepth[0].Levels[8].Value,87720087
TopByDepth[0].Levels[8].Size,2777758594
TopByDepth[0].Levels[9].Short,5557055
TopByDepth[0].Levels[9].Full,79923
TopByDepth[0].Levels[9].Value,64684927
TopByDepth[0].Levels[9].Size,217782416
TopByDepth[0].Levels[10].Short,159888
TopByDepth[0].Levels[10].Full,395
TopByDepth[0].Levels[10].Value,5556669
TopByDepth[0].Levels[10].Size,6101505
TopByDepth[0].Levels[11].Short,790
TopByDepth[0].Levels[11].Full,1
TopByDepth[0].Levels[11].Value,159887
TopByDepth[0].Levels[11].Size,29410
TopByDepth[0].Levels[12].Short,2
TopByDepth[0].Levels[12].Full,0
TopByDepth[0].Levels[12].Value,790
TopByDepth[0].Levels[12].Size,66
TopByDepth[0].Levels[13].Short,0
TopByDepth[0].Levels[13].Full,0
TopByDepth[0].Levels[13].Value,2
TopByDepth[0].Levels[13].Size,0
TopByDepth[0].Summary.Short,159849920
TopByDepth[0].Summary.Full,50853246
TopByDepth[0].Summary.Value,158135051
TopByDepth[0].Summary.Size,13935503027
TopByDepth[1].Owner,0xab14d68802a763f7db875346d03fbf86f137de55814b191c069e721f47474733
TopByDepth[1].MaxDepth,12
TopByDepth[1].TotalNodes,55677353
TopByDepth[1].TotalSize,2271310158
TopByDepth[1].ValueNodes,23370766
TopByDepth[1].Levels[0].Short,0
TopByDepth[1].Levels[0].Full,1
TopByDepth[1].Levels[0].Value,0
TopByDepth[1].Levels[0].Size,532
TopByDepth[1].Levels[1].Short,0
TopByDepth[1].Levels[1].Full,16
TopByDepth[1].Levels[1].Value,0
TopByDepth[1].Levels[1].Size,8512
TopByDepth[1].Levels[2].Short,0
TopByDepth[1].Levels[2].Full,256
TopByDepth[1].Levels[2].Value,0
TopByDepth[1].Levels[2].Size,136192
TopByDepth[1].Levels[3].Short,0
TopByDepth[1].Levels[3].Full,4096
TopByDepth[1].Levels[3].Value,0
TopByDepth[1].Levels[3].Size,2179072
TopByDepth[1].Levels[4].Short,0
TopByDepth[1].Levels[4].Full,65536
TopByDepth[1].Levels[4].Value,0
TopByDepth[1].Levels[4].Size,34865152
TopByDepth[1].Levels[5].Short,0
TopByDepth[1].Levels[5].Full,1048576
TopByDepth[1].Levels[5].Value,0
TopByDepth[1].Levels[5].Size,424538255
TopByDepth[1].Levels[6].Short,6065075
TopByDepth[1].Levels[6].Full,6546621
TopByDepth[1].Levels[6].Value,0
TopByDepth[1].Levels[6].Size,926176651
TopByDepth[1].Levels[7].Short,15656712
TopByDepth[1].Levels[7].Full,919442
TopByDepth[1].Levels[7].Value,5804287
TopByDepth[1].Levels[7].Size,790810953
TopByDepth[1].Levels[8].Short,1857401
TopByDepth[1].Levels[8].Full,47275
TopByDepth[1].Levels[8].Value,15614124
TopByDepth[1].Levels[8].Size,88509261
TopByDepth[1].Levels[9].Short,94626
TopByDepth[1].Levels[9].Full,317
TopByDepth[1].Levels[9].Value,1857094
TopByDepth[1].Levels[9].Size,4058476
TopByDepth[1].Levels[10].Short,634
TopByDepth[1].Levels[10].Full,1
TopByDepth[1].Levels[10].Value,94625
TopByDepth[1].Levels[10].Size,27025
TopByDepth[1].Levels[11].Short,2
TopByDepth[1].Levels[11].Full,0
TopByDepth[1].Levels[11].Value,634
TopByDepth[1].Levels[11].Size,77
TopByDepth[1].Levels[12].Short,0
TopByDepth[1].Levels[12].Full,0
TopByDepth[1].Levels[12].Value,2
TopByDepth[1].Levels[12].Size,0
TopByDepth[1].Summary.Short,23674450
TopByDepth[1].Summary.Full,8632137
TopByDepth[1].Summary.Value,23370766
TopByDepth[1].Summary.Size,2271310158
TopByDepth[2].Owner,0xfe1c2c3bf003e59420de2a964984544a947ac6de636a2dedb89b689ab278b65e
TopByDepth[2].MaxDepth,12
TopByDepth[2].TotalNodes,49103718
TopByDepth[2].TotalSize,1969261801
TopByDepth[2].ValueNodes,20669980
TopByDepth[2].Levels[0].Short,0
TopByDepth[2].Levels[0].Full,1
TopByDepth[2].Levels[0].Value,0
TopByDepth[2].Levels[0].Size,532
TopByDepth[2].Levels[1].Short,0
TopByDepth[2].Levels[1].Full,16
TopByDepth[2].Levels[1].Value,0
TopByDepth[2].Levels[1].Size,8512
TopByDepth[2].Levels[2].Short,0
TopByDepth[2].Levels[2].Full,256
TopByDepth[2].Levels[2].Value,0
TopByDepth[2].Levels[2].Size,136192
TopByDepth[2].Levels[3].Short,0
TopByDepth[2].Levels[3].Full,4096
TopByDepth[2].Levels[3].Value,0
TopByDepth[2].Levels[3].Size,2179072
TopByDepth[2].Levels[4].Short,0
TopByDepth[2].Levels[4].Full,65536
TopByDepth[2].Levels[4].Value,0
TopByDepth[2].Levels[4].Size,34865152
TopByDepth[2].Levels[5].Short,0
TopByDepth[2].Levels[5].Full,1048576
TopByDepth[2].Levels[5].Value,0
TopByDepth[2].Levels[5].Size,401209317
TopByDepth[2].Levels[6].Short,6267732
TopByDepth[2].Levels[6].Full,5615397
TopByDepth[2].Levels[6].Value,0
TopByDepth[2].Levels[6].Size,822731193
TopByDepth[2].Levels[7].Short,13139844
TopByDepth[2].Levels[7].Full,724942
TopByDepth[2].Levels[7].Value,6029426
TopByDepth[2].Levels[7].Size,639081598
TopByDepth[2].Levels[8].Short,1462537
TopByDepth[2].Levels[8].Full,34685
TopByDepth[2].Levels[8].Value,13108360
TopByDepth[2].Levels[8].Size,66861568
TopByDepth[2].Levels[9].Short,69407
TopByDepth[2].Levels[9].Full,236
